gamma,self_value,edge_value,diagonal_value,edge_excess,diagonal_excess,analytic_regime,numerical_policy_00_10_01_11,analytic_numerical_max_error
0.152,1.0870229007633587,1.1450381679389312,1.1450381679389312,0.05801526717557248,0.05801526717557248,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.154,1.0883365200764819,1.1472275334608029,1.1472275334608029,0.05889101338432101,0.05889101338432101,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.156,1.089655172413793,1.149425287356322,1.149425287356322,0.05977011494252893,0.05977011494252893,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.158,1.090978886756238,1.1516314779270633,1.1516314779270633,0.06065259117082533,0.06065259117082533,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.16,1.0923076923076922,1.1538461538461537,1.1538461538461537,0.06153846153846154,0.06153846153846154,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.162,1.09364161849711,1.1560693641618498,1.1560693641618498,0.06242774566473974,0.06242774566473974,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.164,1.094980694980695,1.1583011583011584,1.1583011583011584,0.06332046332046337,0.06332046332046337,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.166,1.0963249516441007,1.1605415860735009,1.1605415860735009,0.06421663442940018,0.06421663442940018,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.168,1.097674418604651,1.1627906976744187,1.1627906976744187,0.06511627906976769,0.06511627906976769,SIC/SIC/SIC,SIC/SIC/SIC/SIC,6.661338147750939e-16
0.17,1.0990291262135923,1.1650485436893203,1.1650485436893203,0.06601941747572804,0.06601941747572804,SIC/SIC/SIC,SIC/SIC/SIC/SIC,4.440892098500626e-16
0.17200000000000001,1.1003891050583658,1.1673151750972763,1.1673151750972763,0.06692607003891049,0.06692607003891049,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.17400000000000002,1.1017543859649124,1.1695906432748537,1.1695906432748537,0.06783625730994136,0.06783625730994136,SIC/SIC/SIC,SIC/SIC/SIC/SIC,8.881784197001252e-16
0.176,1.103125,1.171875,1.171875,0.06875000000000009,0.06875000000000009,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.1102230246251565e-15
0.178,1.104500978473581,1.1741682974559686,1.1741682974559686,0.06966731898238754,0.06966731898238754,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.3322676295501878e-15
0.18,1.1058823529411765,1.1764705882352942,1.1764705882352942,0.07058823529411762,0.07058823529411762,SIC/SIC/SIC,SIC/SIC/SIC/SIC,1.7763568394002505e-15
