alpha,beta,strength,score,goal_separation,action_separation,alias_margin_h8,outcome_axis_gap,signed_probe_gap,information_margin
0.9099999999999999,2.425,0.48000000000000004,2.534935797668893,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.6565410537818877,0.5762067747463326,0.5762067747463326
0.58,1.8399999999999999,0.48000000000000004,2.5306018755680992,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.5291647322516003,0.4807641304054059,0.4807641304054059
0.64,2.02,0.24,2.5280403567728014,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.2967225849606223,0.5797411432884703,0.2967225849606223
0.58,1.8399999999999999,0.42000000000000004,2.5257684348371434,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.46301914072015027,0.497344932406571,0.46301914072015027
0.7,2.02,0.5700000000000001,2.517607297938659,0.6199999999999992,1.32,0.06318530717958737,0.6834816040395898,0.5293180432537924,0.5293180432537924
0.58,2.065,0.33,2.5123313766136195,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.43256182463355564,0.5173241466170267,0.43256182463355564
0.64,2.065,0.42000000000000004,2.5115200054191065,0.6399999999999997,1.2800000000000002,0.056814692820413626,0.5360991366988225,0.5419692580521157,0.5360991366988225
0.58,2.065,0.51,2.510242179559277,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.6685046380700405,0.4713961615203811,0.4713961615203811
0.58,1.93,0.51,2.5085974423282718,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.6058756608466348,0.4713961615203811,0.4713961615203811
0.7,2.155,0.45,2.506352767271423,0.5731853071795872,1.4000000000000004,0.05500000000000016,0.592369869297068,0.575304790322946,0.575304790322946
0.9099999999999999,2.425,0.51,2.505786468451364,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.6975748696432555,0.5649790503888347,0.5649790503888347
0.64,2.02,0.72,2.505318545495116,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.890167754881867,0.4144381467971127,0.4144381467971127
0.58,1.8399999999999999,0.51,2.5042421795592795,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.5622375280173253,0.4713961615203811,0.4713961615203811
0.7,2.2,0.42000000000000004,2.503530768747858,0.4831853071795855,1.4000000000000004,0.06637061435917069,0.5684041879067305,0.5846430796252365,0.5684041879067305
0.7,2.2,0.45,2.5034448768124706,0.4831853071795855,1.4000000000000004,0.06637061435917069,0.6090044870429255,0.575304790322946,0.575304790322946
0.6699999999999999,1.93,0.33,2.502664772419579,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.374665667581197,0.5861989308084251,0.374665667581197
0.9099999999999999,2.425,0.39,2.5021384302006955,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.5334396061977837,0.6048088651175844,0.5334396061977837
0.6699999999999999,1.93,0.66,2.501699345297738,0.5899999999999999,1.2599999999999998,0.08000000000000007,0.749331335162394,0.4665254094220943,0.4665254094220943
0.64,2.065,0.45,2.4969033778670644,0.6399999999999997,1.2800000000000002,0.056814692820413626,0.5743919321773098,0.5333125820372681,0.5333125820372681
0.7,2.02,0.39,2.4965007135102955,0.6199999999999992,1.32,0.06318530717958737,0.46764530802708776,0.5932052172456365,0.46764530802708776
0.58,1.93,0.36,2.4954186952729946,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.4276769370682128,0.511280194025145,0.4276769370682128
0.8799999999999999,2.425,0.42000000000000004,2.492509948333212,0.3268146928204132,1.4331853071795866,0.10318530717958652,0.5843036878372546,0.5960792440916278,0.5843036878372546
0.58,1.8399999999999999,0.39,2.485728582746254,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.42994634495442524,0.5046285827301209,0.42994634495442524
0.8799999999999999,2.425,0.45,2.485455054716009,0.3268146928204132,1.4331853071795866,0.10318530717958652,0.6260396655399156,0.5865582891322594,0.5865582891322594
0.7,2.155,0.42000000000000004,2.4831501943626098,0.5731853071795872,1.4000000000000004,0.05500000000000016,0.5528785446772635,0.5846430796252365,0.5528785446772635
0.58,2.065,0.54,2.4817000441990427,0.5799999999999992,1.1600000000000001,0.08818530717958595,0.7078284403094547,0.461252575802345,0.461252575802345
0.7,2.02,0.6000000000000001,2.481107279455781,0.6199999999999992,1.32,0.06318530717958737,0.7194543200416735,0.5153741497901527,0.5153741497901527
0.58,1.93,0.54,2.4800553069680378,0.5800000000000001,1.1600000000000001,0.08681469282041387,0.6415154056023192,0.461252575802345,0.461252575802345
0.7,2.155,0.48000000000000004,2.4797761481677636,0.5731853071795872,1.4000000000000004,0.05500000000000016,0.6318611939168726,0.5651518764119847,0.5651518764119847
0.64,2.02,0.21,2.477393390612211,0.6399999999999997,1.2800000000000002,0.10000000000000009,0.25963226184054455,0.5838788106759886,0.25963226184054455
0.7,2.2,0.48000000000000004,2.4768682577088117,0.4831853071795855,1.4000000000000004,0.06637061435917069,0.6496047861791205,0.5651518764119847,0.5651518764119847
0.58,1.8399999999999999,0.54,2.4757000441990455,0.5800000000000001,1.1600000000000001,0.08318530717958694,0.5953103237830504,0.461252575802345,0.461252575802345
0.9099999999999999,2.425,0.54,2.4742237334369546,0.3868146928204137,1.4331853071795866,0.0818146928204122,0.7386086855046236,0.5528217315680152,0.5528217315680152
0.64,1.975,0.45,2.472949432637607,0.6399999999999997,1.2800000000000002,0.05500000000000016,0.5379221193909776,0.5333125820372681,0.5333125820372681
0.64,2.155,0.42000000000000004,2.4724172969901197,0.6399999999999997,1.2800000000000002,0.053185307179585806,0.5685250443291813,0.5419692580521157,0.5419692580521157
