length,replicate,trace_distance
2,31,0.050310738129
2,32,0.028322376208
2,33,0.036424618237
2,34,0.013762107700
2,35,0.012560847105
2,36,0.034127088840
2,37,0.030003560320
2,38,0.029490250651
2,39,0.033323167468
2,40,0.038790313575
2,41,0.055404114383
2,42,0.046742940833
2,43,0.040874391814
2,44,0.031453572982
2,45,0.059158756524
2,46,0.014557523950
2,47,0.043261129744
2,48,0.029611637196
2,49,0.007641360483
2,50,0.032216590718
2,51,0.041823652975
2,52,0.040770252497
2,53,0.027573068251
2,54,0.043063841677
2,55,0.018899061566
2,56,0.051380576641
2,57,0.026019374839
2,58,0.052137811485
2,59,0.006830494012
2,60,0.018812225803
2,61,0.018569304766
2,62,0.020953111460
2,63,0.032875363086
2,64,0.031121258996
2,65,0.044627351384
2,66,0.032455567569
2,67,0.023287448338
2,68,0.058210048004
2,69,0.018496792016
2,70,0.024674134844
2,71,0.053753643529
2,72,0.005562681183
2,73,0.036785433526
2,74,0.035671610245
2,75,0.047748538547
2,76,0.042136684252
2,77,0.041976947326
2,78,0.021233621417
2,79,0.019987778311
2,80,0.073322717764
2,81,0.027655222788
2,82,0.079082998236
2,83,0.048476775532
2,84,0.012741002625
2,85,0.013178249989
2,86,0.048000522163
2,87,0.025986845432
2,88,0.012611508881
2,89,0.044596747379
2,90,0.013738283199
2,91,0.051123772763
2,92,0.037885811710
2,93,0.022593542123
2,94,0.059485921701
2,95,0.024175013768
2,96,0.024900590120
2,97,0.012930037035
2,98,0.083535324115
2,99,0.015009641253
2,100,0.020028642882
2,101,0.013716391060
2,102,0.014695364275
2,103,0.016874686446
2,104,0.071898620822
2,105,0.034607938299
2,106,0.012808213563
2,107,0.004797697005
2,108,0.030191220212
2,109,0.023314341929
2,110,0.046866442538
2,111,0.021006743476
2,112,0.051011262978
2,113,0.039084845591
2,114,0.035168439723
2,115,0.051827431477
2,116,0.060992050985
2,117,0.042747553852
2,118,0.025539589770
2,119,0.064495800902
2,120,0.028151023454
2,121,0.053986510800
2,122,0.038604428213
2,123,0.034746476039
2,124,0.018550883365
2,125,0.034446761113
2,126,0.014475822763
2,127,0.040086578559
2,128,0.048377758488
2,129,0.034082205700
2,130,0.056486535467
2,131,0.085507048976
2,132,0.045135262016
2,133,0.017526422207
2,134,0.025616339603
2,135,0.042213808509
2,136,0.016609667546
2,137,0.030627478934
2,138,0.038254105107
2,139,0.050286428743
2,140,0.026410574489
2,141,0.038687215368
2,142,0.012228656561
2,143,0.037009500094
2,144,0.037343247903
2,145,0.024286729531
2,146,0.026563839261
2,147,0.031474633343
2,148,0.016542514127
2,149,0.026865260137
2,150,0.041079694021
2,151,0.032691663540
2,152,0.055351532378
2,153,0.032603156733
2,154,0.028547824258
2,155,0.026946370531
2,156,0.010492108807
2,157,0.028699950171
2,158,0.038032440550
2,159,0.045554721195
2,160,0.015065107463
2,161,0.021447880508
2,162,0.070876300776
2,163,0.033633565033
2,164,0.033704549739
2,165,0.025274160940
2,166,0.033602303129
2,167,0.020170100945
2,168,0.023578281590
2,169,0.036456758585
2,170,0.030287917563
2,171,0.032873884950
2,172,0.052204891171
2,173,0.005638195599
2,174,0.035572615723
2,175,0.038377843526
2,176,0.048103097878
2,177,0.018301189890
2,178,0.052829301869
2,179,0.035606821758
2,180,0.055255963903
2,181,0.045501289205
2,182,0.044887797457
2,183,0.015171984803
2,184,0.064171772234
2,185,0.032709810342
2,186,0.051650112228
2,187,0.064114566480
2,188,0.044245903898
2,189,0.037120058957
2,190,0.052940376118
2,191,0.020967077571
2,192,0.014851578851
2,193,0.050982707145
2,194,0.026904150897
2,195,0.036710796514
2,196,0.040315139644
2,197,0.040132948183
2,198,0.022835482280
2,199,0.022361861734
2,200,0.035423536668
2,201,0.031733287236
2,202,0.020616069507
2,203,0.031700904164
2,204,0.049646122858
2,205,0.014638262345
2,206,0.008327316747
2,207,0.042837683873
2,208,0.045259708015
2,209,0.030411585981
2,210,0.039202318011
2,211,0.029659697797
2,212,0.014282437323
2,213,0.006847125270
2,214,0.007687312666
2,215,0.026666715994
2,216,0.015168733927
2,217,0.017765422027
2,218,0.030858184166
2,219,0.050243432884
2,220,0.020864559190
2,221,0.056779745593
2,222,0.026437809056
2,223,0.035803809662
2,224,0.033795644191
2,225,0.020967680121
2,226,0.030594127985
2,227,0.070819105708
2,228,0.038402906323
2,229,0.055601974042
2,230,0.033239446692
2,231,0.025847247905
2,232,0.081842129434
2,233,0.039003417335
2,234,0.061723786994
2,235,0.027438593260
2,236,0.020436295917
2,237,0.028693859537
2,238,0.019168802609
2,239,0.033509051348
2,240,0.030663840955
2,241,0.027303659479
2,242,0.011210712065
2,243,0.074967548917
2,244,0.037943459041
2,245,0.029871547707
2,246,0.038751412999
2,247,0.026285884473
2,248,0.032234997814
2,249,0.025672355239
3,0,0.014305506794
3,1,0.035102758811
3,2,0.014469054899
3,3,0.024842797241
3,4,0.044462624502
3,5,0.033419663938
3,6,0.029069718750
3,7,0.014074985985
3,8,0.034450574105
3,9,0.028179978522
3,10,0.050235252426
3,11,0.050081383553
3,12,0.054837789320
3,13,0.040602280596
3,14,0.047931634969
3,15,0.069263533806
3,16,0.036772822042
3,17,0.060390477226
3,18,0.020863798318
3,19,0.035632767252
3,20,0.063441019380
3,21,0.057069804388
3,22,0.041076809959
3,23,0.016909318959
3,24,0.027915150758
3,25,0.052250005819
3,26,0.010545599273
3,27,0.045995794630
3,28,0.054854225233
3,29,0.043515358335
3,30,0.029202507946
3,31,0.057763720314
3,32,0.003573768703
3,33,0.044112638178
3,34,0.032993538833
3,35,0.021907200255
3,36,0.049325518526
3,37,0.054073964552
3,38,0.011969604967
3,39,0.028219771007
3,40,0.024250388080
3,41,0.026657155448
3,42,0.044310004208
3,43,0.049929987390
3,44,0.012198955635
3,45,0.036417760040
3,46,0.039716332289
3,47,0.029802312817
3,48,0.038340975888
3,49,0.025489877115
3,50,0.024763885905
3,51,0.041023068595
3,52,0.031925548307
3,53,0.033609178791
3,54,0.038246043751
3,55,0.014048144038
3,56,0.027122658757
3,57,0.021762545855
3,58,0.070472913515
3,59,0.067332737916
3,60,0.022290711849
3,61,0.060891069254
3,62,0.011003173016
3,63,0.011794279894
3,64,0.041310790423
3,65,0.017212107428
3,66,0.046467193866
3,67,0.041831104252
3,68,0.056266523989
3,69,0.057258689428
3,70,0.049728182297
3,71,0.021989050907
3,72,0.052116848445
3,73,0.038763351154
3,74,0.027477203873
3,75,0.043802206227
3,76,0.031761566000
3,77,0.001982092640
3,78,0.048725892724
3,79,0.031380260747
3,80,0.007533174053
3,81,0.062341456853
3,82,0.023347098922
3,83,0.031280480286
3,84,0.034942216347
3,85,0.012440178848
3,86,0.038799831627
3,87,0.046506984950
3,88,0.034080200929
3,89,0.065960078921
3,90,0.030991693427
3,91,0.005298153460
3,92,0.033753497721
3,93,0.043910638156
3,94,0.040793175416
3,95,0.063210314296
3,96,0.080056736679
3,97,0.036014023116
3,98,0.031172718591
3,99,0.067519976805
3,100,0.039462257750
3,101,0.003659257691
3,102,0.032862572799
3,103,0.028704854716
3,104,0.029866890691
3,105,0.033403045429
3,106,0.031976093417
3,107,0.031316165839
3,108,0.027480041623
3,109,0.020208840231
3,110,0.005364540239
3,111,0.033782743423
3,112,0.016963331398
3,113,0.027810355279
3,114,0.036774239868
3,115,0.048183006505
3,116,0.035749599573
3,117,0.031319970203
3,118,0.043521831862
3,119,0.026356106475
3,120,0.037235416485
3,121,0.013686678529
3,122,0.040878084406
3,123,0.033614486979
3,124,0.052009888089
3,125,0.055845303903
3,126,0.022871930525
3,127,0.034705497366
3,128,0.028885501856
3,129,0.046986351700
3,130,0.013721597540
3,131,0.037926813546
3,132,0.029377796146
3,133,0.032996573253
3,134,0.010457560460
3,135,0.028505336070
3,136,0.050912597539
3,137,0.017516575274
3,138,0.020515844245
3,139,0.025819258158
3,140,0.061872528033
3,141,0.029292973231
3,142,0.017629064577
3,143,0.031741702250
3,144,0.064341880678
3,145,0.010913491513
3,146,0.028726618973
3,147,0.030518732642
3,148,0.059296054270
3,149,0.025923061942
3,150,0.040160340901
3,151,0.027232101416
3,152,0.071621295508
3,153,0.046376411281
3,154,0.027998518504
3,155,0.003632981680
3,156,0.037219316425
3,157,0.052496643595
3,158,0.036659675639
3,159,0.075204542474
3,160,0.026999847945
3,161,0.013794469342
3,162,0.077088737627
3,163,0.022524892912
3,164,0.024735101445
3,165,0.034141053455
3,166,0.014916926032
3,167,0.019557521282
3,168,0.086965926435
3,169,0.039195230901
3,170,0.059136564687
3,171,0.041741608182
3,172,0.042857821409
3,173,0.012819772780
3,174,0.019733405457
3,175,0.054275596434
3,176,0.020964524933
3,177,0.021595299659
3,178,0.036374002230
3,179,0.039224625238
3,180,0.041750333992
3,181,0.047379300282
3,182,0.014847283291
3,183,0.068568016766
3,184,0.027158403450
3,185,0.017900319073
3,186,0.020536242263
3,187,0.057658801528
3,188,0.038465263586
3,189,0.029250665835
3,190,0.037087035072
3,191,0.038211112442
3,192,0.019409509607
3,193,0.006645956000
3,194,0.054273379865
3,195,0.023948368207
3,196,0.026454174624
3,197,0.060863200888
3,198,0.031087353672
3,199,0.043402956722
3,200,0.034820946447
3,201,0.016131299832
3,202,0.023000270046
3,203,0.028685610297
3,204,0.024457784808
3,205,0.026507757413
3,206,0.013527307187
3,207,0.034046981744
3,208,0.036663271529
3,209,0.027098906774
3,210,0.026850128202
3,211,0.051756433298
3,212,0.052969405696
3,213,0.033904600819
3,214,0.014074132258
3,215,0.060174409668
3,216,0.047212975701
3,217,0.048972385526
3,218,0.087429917104
3,219,0.030807699937
3,220,0.028832894941
3,221,0.049552267964
3,222,0.022092391606
3,223,0.014494441474
3,224,0.035667783312
3,225,0.070698773206
3,226,0.042651353224
3,227,0.016712693258
3,228,0.033874880371
3,229,0.050344993783
3,230,0.011129819881
3,231,0.034557551157
3,232,0.042943485976
3,233,0.050856193189
3,234,0.037357012225
3,235,0.015032578028
3,236,0.019241751523
3,237,0.030029254487
3,238,0.029300199695
3,239,0.031154421348
3,240,0.024211534532
3,241,0.038449610405
3,242,0.055302685775
3,243,0.038735083382
3,244,0.025030426555
3,245,0.031380919423
3,246,0.054639931018
3,247,0.039390816114
3,248,0.040207635456
3,249,0.019188042660
4,0,0.017325021937
4,1,0.028639361072
4,2,0.025027457208
4,3,0.017601485020
4,4,0.047267832866
4,5,0.014198672001
4,6,0.029325384219
4,7,0.014832737225
4,8,0.050945569739
4,9,0.041268297132
4,10,0.052569337635
4,11,0.051437513928
4,12,0.025968198054
4,13,0.027722108963
4,14,0.037691496602
4,15,0.039342373960
4,16,0.043942172287
4,17,0.059485706306
4,18,0.025492329562
4,19,0.065613572428
4,20,0.055519803067
4,21,0.016944544935
4,22,0.034408753345
4,23,0.034889167876
4,24,0.013218252230
4,25,0.031814359647
4,26,0.046683771886
4,27,0.026821687072
4,28,0.014245596363
4,29,0.058464338691
4,30,0.016246769813
4,31,0.016643597426
4,32,0.027498602583
4,33,0.036550506109
4,34,0.021324532299
4,35,0.020187880694
4,36,0.035476940131
4,37,0.045714262077
4,38,0.006859915232
4,39,0.030230144428
4,40,0.018010783643
4,41,0.022859597922
4,42,0.019650300585
4,43,0.062679575077
4,44,0.036208065610
4,45,0.018791549160
4,46,0.043154345705
4,47,0.049711601500
4,48,0.041222610473
4,49,0.025833870142
4,50,0.048296659389
