run_id,environment,initial_state,backend,seed,phase,goal_id,goal_name,episodes,success_rate,mean_steps_success,mean_reward
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,training,-1,OVERALL,400,0.7975,4.8808777429467085,8.226775
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,0,Z0,100,1.0,4.88,9.961200000000003
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,1,Z1,100,1.0,1.0,10.0
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,2,X0,100,1.0,4.0,9.97
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,3,X1,100,0.98,3.3979591836734695,9.7735
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,4,Z0_X0,100,0.89,6.51685393258427,9.8242
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,5,X0_Z0,100,0.98,6.428571428571429,10.753800000000002
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,6,weakZ0_Z0,100,0.0,nan,-0.15
qubit-zx-weak__one__multi-gru__seed1,qubit-zx-weak,one,multi-gru,1,evaluation,-1,OVERALL,700,0.8357142857142857,4.326495726495726,8.590385714285715
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,0,Z0,62,0.8225806451612904,4.411764705882353,8.171129032258065
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,1,Z1,65,0.9076923076923077,4.5423728813559325,9.030923076923077
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,2,X0,46,0.9782608695652174,1.4222222222222223,9.775217391304347
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,3,X1,63,0.8412698412698413,4.716981132075472,8.35761904761905
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,4,Z0_X0,64,0.734375,6.425531914893617,8.16359375
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,5,X0_Z0,50,0.78,5.538461538461538,8.7416
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,6,weakZ0_Z0,50,0.76,4.815789473684211,8.443999999999999
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,training,-1,OVERALL,400,0.83,4.542168674698795,8.6289
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,0,Z0,100,0.88,4.318181818181818,8.7528
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,1,Z1,100,0.85,4.564705882352941,8.4472
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,2,X0,100,1.0,1.0,10.0
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,3,X1,100,0.94,4.840425531914893,9.3549
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,4,Z0_X0,100,0.85,5.258823529411765,9.421
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,5,X0_Z0,100,0.84,5.9523809523809526,9.3444
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,6,weakZ0_Z0,100,0.83,4.831325301204819,9.212299999999999
qubit-zx-weak__plus__tabular__seed0,qubit-zx-weak,plus,tabular,0,evaluation,-1,OVERALL,700,0.8842857142857142,4.315024232633279,9.218942857142858
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,0,Z0,55,0.9090909090909091,3.78,9.052
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,1,Z1,64,0.921875,3.9322033898305087,9.18
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,2,X0,57,0.9824561403508771,1.8928571428571428,9.813157894736843
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,3,X1,54,0.8518518518518519,5.869565217391305,8.454814814814817
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,4,Z0_X0,62,0.532258064516129,7.515151515151516,5.999677419354839
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,5,X0_Z0,53,0.9056603773584906,4.875,9.998301886792454
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,6,weakZ0_Z0,55,0.7090909090909091,5.512820512820513,7.951818181818182
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,training,-1,OVERALL,400,0.8275,4.513595166163142,8.601325
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,0,Z0,100,0.88,3.4318181818181817,8.7606
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,1,Z1,100,0.89,3.50561797752809,8.8612
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,2,X0,100,1.0,1.0,10.0
qubit-zx-weak__plus__tabular__seed1,qubit-zx-weak,plus,tabular,1,evaluation,3,X1,100,0.86,6.546511627906977,8.531300000000002
