goal_id,progress,place,action,q_value
5,0,2,4,4.48556627331526
5,0,2,5,1.9545496807864393
5,0,2,6,1.9858199921900586
5,0,2,7,2.2651947970421165
5,0,2,8,2.3781821202121667
5,0,3,0,2.246931823120938
5,0,3,1,9.004840225741523
5,0,3,2,0.11746750648270475
5,0,3,3,2.517181854237919
5,0,3,4,0.0028249789
5,0,3,5,1.706577825223087
5,0,3,6,0.37692477583159767
5,0,3,7,1.0810050306847312
5,0,3,8,0.7929529798825353
5,0,4,0,2.358124884687981
5,0,4,1,9.489999999999974
5,0,4,2,5.7615106320731035
5,0,4,3,4.45297340078079
5,0,4,4,6.035621843671857
5,0,4,5,2.494618917631259
5,0,4,6,4.774015173767348
5,0,4,7,2.0267880973209396
5,0,4,8,6.778778339885366
5,0,5,0,6.843133936134859
5,0,5,1,7.719665283960859
5,0,5,2,8.060011618558804
5,0,5,3,5.848087377383487
5,0,5,4,8.820632961486929
5,0,5,5,6.8045909392161805
5,0,5,6,6.983883288639485
5,0,5,7,7.422634689941263
5,0,5,8,9.999999999999993
5,0,6,0,0.3480307186192564
5,0,6,1,2.938375443706364
5,0,6,2,0.6456270163809839
5,0,6,3,1.2576657004748257
5,0,6,4,8.80649089789802
5,0,6,5,0.7757226391732834
5,0,6,6,0.5031063587631888
5,0,6,7,0.6857267062157846
5,0,6,8,2.656144934301928
5,0,7,0,3.1359290514228455
5,0,7,1,1.5713315677261732
5,0,7,2,1.0834006665520408
5,0,7,3,1.7083036742273956
5,0,7,4,9.240352211354244
5,0,7,5,2.3634056497357863
5,0,7,6,2.2367477584002398
5,0,7,7,2.1698268899373168
5,0,7,8,2.509181892287064
5,0,8,0,9.489897285490994
5,0,8,1,2.9408882515516717
5,0,8,2,1.7944496742900955
5,0,8,3,0.46694689501374637
5,0,8,4,1.0969040008498998
5,0,8,5,3.7684686520935187
5,0,8,6,1.1037993139309208
5,0,8,7,0.4520354984783015
5,0,8,8,2.149174020838747
5,0,,0,0.0
5,0,,1,0.0
5,0,,2,0.0
5,0,,3,0.0
5,0,,4,0.0
5,0,,5,0.0
5,0,,6,0.0
5,0,,7,0.0
5,0,,8,0.0
6,0,0,0,1.058820589904067
6,0,0,1,0.7090949591210669
6,0,0,2,9.002922527956892
6,0,0,3,0.9114079468398868
6,0,0,4,0.4367614334894618
6,0,0,5,1.3644480080515018
6,0,0,6,1.3199455939128493
6,0,0,7,0.986540528507474
6,0,0,8,1.2742697835335997
6,0,1,0,0.15556675583505808
6,0,1,1,0.09030589323689477
6,0,1,2,0.8217724150512166
6,0,1,3,1.1163321788138179
6,0,1,4,0.9959818138950467
6,0,1,5,1.6849117276837002
6,0,1,6,8.79637692869738
6,0,1,7,0.15824474718826098
6,0,1,8,0.42536630742296466
6,0,2,0,0.7631652511768547
6,0,2,1,1.0290642106289396
6,0,2,2,0.1350258714329588
6,0,2,3,0.021525893573237507
6,0,2,4,1.2498154029192496
6,0,2,5,0.023750752436829718
6,0,2,6,8.639105974794617
6,0,2,7,0.42891636865935023
6,0,2,8,0.752980822712582
6,0,3,0,1.294024156116388
6,0,3,1,2.111052875201281
6,0,3,2,9.48999999907477
6,0,3,3,4.464936265464097
6,0,3,4,1.4443972745496922
6,0,3,5,2.811601535817398
6,0,3,6,4.344042286786328
6,0,3,7,4.798298683305828
6,0,3,8,3.1528220815747576
6,0,4,0,1.2211915275783054
6,0,4,1,0.08068149699445346
6,0,4,2,2.149015542223272
6,0,4,3,1.7124259582662034
6,0,4,4,3.6186696498479334
6,0,4,5,2.4165785943064346
6,0,4,6,9.405373187651744
6,0,4,7,1.3349835937286059
