diagonal_success,objective,stress_1d,stress_2d,stress_3d,positive_variance_2d,negative_spectrum_fraction,coordinate_procrustes_r2,euclidean_distance_correlation
0.61,0.08760422135305916,0.44050872730939256,0.07254750950302655,0.07254750950302652,0.9047770402981309,0.1505608768910561,0.999997503356292,0.9846029896328575
0.615,0.08459045476632476,0.4398552534533974,0.06987369232857268,0.0698736923285727,0.906720245902421,0.1471590576717971,0.9999965733177105,0.9856661520236624
0.62,0.08162940056044096,0.43922121093870575,0.06725549408537979,0.06725549408537981,0.9086565385004198,0.14372781387889527,0.9999954996513134,0.9866728415073859
0.625,0.07872474212438035,0.4386063448114482,0.06469655154068474,0.06469655154068474,0.9105850582903938,0.14026761483677505,0.9999942835999276,0.9876228405829236
0.63,0.07588064426479467,0.43801040029259464,0.0622009820489385,0.062200982048938494,0.9125049752631321,0.13677893814061529,0.9999929263928214,0.9885159610392682
0.635,0.07310181301874889,0.4374331228909569,0.05977344384452677,0.05977344384452676,0.9144154957392667,0.1332622648568921,0.9999914292458684,0.9893520441388483
0.64,0.07039355895668928,0.43687425851280015,0.05741919985133292,0.05741919985133286,0.9163158687819607,0.12971807445809203,0.9999897933618114,0.9901309607584668
0.645,0.0677618617878591,0.4363335535680663,0.05514418281176715,0.05514418281176715,0.9182053923410634,0.1261468395860105,0.9999880199300364,0.9908526114875291
0.65,0.06521343263756375,0.43581075507321654,0.052955058094477175,0.05295505809447717,0.9200834189823333,0.12254902074977105,0.9999861101275621,0.9915169266834117
0.655,0.0627557683965005,0.43530561075070373,0.050859278568847276,0.05085927856884727,0.9219493610588875,0.11892506107274897,0.9999840651184867,0.9921238664839012
0.66,0.06039718998496888,0.4348178691250876,0.04886512337791046,0.048865123377910484,0.9238026951920221,0.11527538120615832,0.9999818860542297,0.9926734207767949
0.665,0.0581468532773521,0.43434727961581027,0.04698170934328546,0.04698170934328546,0.9256429659448169,0.11160037452572485,0.9999795740740234,0.9931656091268376
0.67,0.05601471803689973,0.4338935926266542,0.04521896034101601,0.04521896034101602,0.9274697885939641,0.10790040272139029,0.9999771303050212,0.9936004806603097
0.675,0.05401145709735859,0.43345655963190316,0.04358751687511912,0.0435858071598527,0.9292828509319835,0.10417579187860933,0.9999745558624858,0.993978113907707
0.68,0.0521482862488996,0.4330359332592354,0.042098566297806096,0.0420885346138602,0.931081914062051,0.10042682913401221,0.9999718518492309,0.9942986166050393
0.685,0.05043669642392319,0.43263146736937774,0.04076357526628549,0.04073258996357534,0.9328668121794175,0.09665375996893671,0.9999690193570239,0.9945621254544187
0.6900000000000001,0.048888075792571394,0.4322429171325529,0.03959391204079812,0.03952860043953739,0.9346374513650078,0.09285678618264599,0.9999660594659653,0.994768805844682
0.6950000000000001,0.047513222019039986,0.4318700391017548,0.03860035887369479,0.03848364858436648,0.9363938074465858,0.08903606456425481,0.9999629732443212,0.9949188515329592
0.7,0.04632176468963666,0.4315125912828901,0.03779253450102611,0.037604195104655666,0.9381359230092011,0.08519170625975213,0.9999597617494587,0.9950124842881083
0.7050000000000001,0.045321542657163635,0.43117033320182535,0.03717827148324117,0.03689577042376926,0.9398639036583053,0.08132377680930838,0.9999564260280335,0.9950499534971323
0.71,0.04479105492997209,0.43084302596838225,0.03676301717031155,0.03636216518110335,0.9382707099284402,0.08016279538407048,0.999952967114986,0.995031535735713
0.7150000000000001,0.044661591215568335,0.430530432337324,0.0365493418390876,0.036005254107316344,0.934278680724477,0.08099595885224589,0.9999493860349754,0.9949575343041132
0.72,0.04473442534879426,0.43023231676638257,0.03653663463220468,0.03582473385243961,0.930303010559811,0.08184211667058351,0.9999456838018751,0.9948282787297856
0.725,0.04500562184675069,0.42994844547136973,0.036721043539358324,0.03581804229260736,0.9263445664148261,0.0827004366211494,0.9999418614188903,0.9946441242380877
0.73,0.04546820239474722,0.4296785864784267,0.037095674163397124,0.03598040947014122,0.9224042094118108,0.08357008201212292,0.9999379198794488,0.9944054511925629
0.735,0.04611257207229772,0.4294225096734608,0.03765101539274416,0.03630505453480702,0.9184827887535209,0.08445021720955846,0.9999338601656091,0.994112664506338
0.74,0.04692710333619427,0.42917998684882314,0.038375522875435664,0.03678350322772092,0.9145811362116997,0.08534001273456417,0.9999296832507912,0.9937661930262257
0.745,0.047898791099524815,0.4289507917472811,0.03925627363598681,0.03740598528737856,0.9107000612133673,0.08623864987781284,0.9999253900969731,0.9933664888911463
0.75,0.04901389627250241,0.4287347001033417,0.040279609206658816,0.038161864469032074,0.9068403465517834,0.0871453248013105,0.9999209816571498,0.9929140268665921
0.755,0.05025851500550895,0.4285314896819808,0.04143170451267848,0.039040056784117046,0.9030027447301363,0.08805925211379387,0.9999164588741957,0.9924093036568065
0.76,0.05161903734283268,0.42834094031483805,0.04269902622128999,0.040029402744290586,0.8991879749296506,0.08897966792062109,0.9999118226820777,0.9918528371964518
0.765,0.05308248381619963,0.4067932162463931,0.044068669081137185,0.041118972858413275,0.8953967205802378,0.08990583236121544,0.9999070740042364,0.9912451659235205
0.77,0.05463672685415759,0.42799695460296194,0.045528577127323194,0.04207460675447741,0.8916296275010738,0.09083703165696383,0.999902213755448,0.9905868480352679
0.775,0.056270614530816,0.42784308854623904,0.04706766727108525,0.042896396272300415,0.8878873025705466,0.09177257969998873,0.9998972428410725,0.989878460728969
0.78,0.05797401824619752,0.4277010241753329,0.048675876863587736,0.0437514132049273,0.8841703128795626,0.09271181921853637,0.9998921621569754,0.989120599429276
0.785,0.0597378255130667,0.42757055211346834,0.05034415640502349,0.04463677057002104,0.8804791853190771,0.09365412255809562,0.9998869725910654,0.9883138770039637
0.79,0.061553896158623014,0.42745146521774774,0.052064425702178584,0.045549789098229425,0.8768144065514654,0.09459889211904265,0.9998816750218393,0.9874589229698575
0.795,0.06341499646218843,0.42734355859925527,0.05382950799248645,0.04648797405734634,0.8731764233157371,0.0955455604918543,0.9998762703179338,0.9865563826906821
0.8,0.06531472199710978,0.40958681304032457,0.05563305279926339,0.047448997682205805,0.8695656430181894,0.09649359033007522,0.9998707593406445,0.985606916568579
0.8049999999999999,0.06724741670133347,0.42716047801448553,0.05746945503687621,0.04843069778286112,0.8659824345626628,0.09744247399948985,0.9998651429419669,0.9846111992310017
0.81,0.06920809311967493,0.4270849056927865,0.05933377530729692,0.04943106843574081,0.8624271293777499,0.09839173303957496,0.9998594219663179,0.9835699187146604
0.815,0.07119235684035409,0.4270197169638267,0.0612216644056286,0.0504482524673361,0.8589000226019452,0.09934091747054648,0.9998535972493167,0.9824837756481801
0.8200000000000001,0.07319633677957657,0.41134233803755355,0.06312929368619892,0.05148053326879626,0.8554013743915366,0.10028960497628699,0.9998476696170042,0.9813534824350274
0.825,0.07521662204078461,0.41179719088188144,0.0650532920141691,0.052526326267934347,0.8519314113199477,0.10123739999032574,0.9998416398896682,0.9801797624383043
0.8300000000000001,0.077250205479552,0.42688453013475447,0.06699068942814665,0.053584170310711686,0.8484903278410393,0.10218393270893208,0.9998355088779515,0.9789633491688833
0.835,0.07929443373209569,0.4268589652720008,0.06893886727318761,0.05465271914162252,0.8450782877925529,0.10312885805238187,0.9998292773853205,0.9777049854783445
0.8400000000000001,0.08134696326560567,0.4268428404622147,0.07089551435792421,0.055730733120862345,0.8416954259192823,0.10407185459260422,0.9998229462063158,0.9764054227581082
0.845,0.08340572190437578,0.42683597403933005,0.0728585885903782,0.05681707127458733,0.8383418493987704,0.1050126234627623,0.9998165161291146,0.975065420146096
0.85,0.08546887525898,0.4268381866898644,0.07482628351590728,0.057910683741669515,0.8350176393551484,0.10595088726189214,0.999809987932466,0.9736857437421953
0.855,0.08753479749019535,0.42684930145227534,0.07679699919106905,0.05901060465477708,0.8317228523493705,0.1068863889655253,0.9998033623897049,0.9722671658337437
0.86,0.0896020458799554,0.42686914371496426,0.0787693168611426,0.06011594547411511,0.8284575218363519,0.1078188908512668,0.9997966402652555,0.9708104641321608
0.865,0.09166933872043939,0.42689754121297796,0.08074197695491328,0.06122588877760913,0.8252216595815456,0.10874817344655167,0.9997898223165163,0.9693164210218409
0.87,0.09373553608758735,0.42693432402346637,0.08271385996071486,0.06233968250072228,0.822015257031227,0.10967403450429705,0.9997829092942289,0.967785822822274
