goal_id,progress,place,action,q_value
3,0,7,1,3.427912235268474
3,0,7,2,1.6596080025444238
3,0,7,3,9.005498106761578
3,0,7,4,3.4005530962297335
3,0,8,0,3.007978449090596
3,0,8,1,0.2615723775466536
3,0,8,2,1.386115327627383
3,0,8,3,8.533710532595268
3,0,8,4,0.22393620648268983
3,0,,0,0.0
3,0,,1,0.0
3,0,,2,0.0
3,0,,3,0.0
3,0,,4,0.0
4,0,0,0,1.3906545774675054
4,0,0,1,9.001610985672151
4,0,0,2,2.1406891602490634
4,0,0,3,0.12459118171587265
4,0,0,4,3.6765374503342265
4,0,1,0,5.746934794876202
4,0,1,1,4.72764705499007
4,0,1,2,9.489999999956645
4,0,1,3,4.121409633625773
4,0,1,4,5.562857585799763
4,0,2,0,1.8785516586673827
4,0,2,1,0.9874530789094415
4,0,2,2,3.150846495963739
4,0,2,3,9.00492261734693
4,0,2,4,3.3649543277816183
4,0,3,0,2.1271166203220075
4,0,3,1,9.48970981062552
4,0,3,2,1.8751508356016626
4,0,3,3,3.4853038303253565
4,0,3,4,4.931324056559844
4,0,4,0,7.985386021950642
4,0,4,1,8.587801581120393
4,0,4,2,8.663944008943567
4,0,4,3,7.583012010235136
4,0,4,4,9.999999999999993
4,0,5,0,3.048648150342642
4,0,5,1,1.6934060147241634
4,0,5,2,1.2493154752516267
4,0,5,3,9.489919322294083
4,0,5,4,3.6162484327448863
4,0,6,0,4.1008453948798405
4,0,6,1,9.00437126436405
4,0,6,2,1.0002213111369729
4,0,6,3,1.3328370438555672
4,0,6,4,0.4178437366172346
4,0,7,0,9.489999999986203
4,0,7,1,5.300461595812399
4,0,7,2,6.617895759734802
4,0,7,3,4.3986725270957026
4,0,7,4,6.55875248600124
4,0,8,0,2.9387464207736635
4,0,8,1,1.6125789279080944
4,0,8,2,2.1102584160966833
4,0,8,3,9.004640917398469
4,0,8,4,3.703440838761449
4,0,,0,0.0
4,0,,1,0.0
4,0,,2,0.0
4,0,,3,0.0
4,0,,4,0.0
5,0,0,0,0.6591361610067493
5,0,0,1,2.2678000227163175
5,0,0,2,8.537454114149837
5,0,0,3,2.075716188578605
5,0,0,4,0.7792955788018372
5,0,1,0,2.7237418147571515
5,0,1,1,9.001312860166806
5,0,1,2,4.817242082619282
5,0,1,3,2.1871923520150807
5,0,1,4,1.823431706160278
5,0,2,0,6.848961964907213
5,0,2,1,5.603990673994858
5,0,2,2,9.489999862617463
5,0,2,3,3.778414584005076
5,0,2,4,3.41787287790034
5,0,3,0,3.51229319577021
5,0,3,1,9.005499993564502
5,0,3,2,3.0364334794827066
5,0,3,3,4.300530859364782
5,0,3,4,3.84171750779588
5,0,4,0,5.152090198720889
5,0,4,1,9.489999999999984
5,0,4,2,4.556078650194613
5,0,4,3,4.30387067617707
5,0,4,4,5.6808673896260675
5,0,5,0,8.411222834959274
5,0,5,1,8.762212115063754
5,0,5,2,7.755852581822196
5,0,5,3,8.211799726903315
5,0,5,4,9.999999999999993
5,0,6,0,8.5416864198083
5,0,6,1,2.403126907351485
5,0,6,2,1.4239412069670352
5,0,6,3,0.6964270958238172
5,0,6,4,1.1553711598593943
5,0,7,0,8.998744052063861
5,0,7,1,5.032799430420379
5,0,7,2,1.9191639686245252
5,0,7,3,1.3570654829220545
5,0,7,4,2.13480404992245
5,0,8,0,9.489778408992155
5,0,8,1,4.746393145402737
5,0,8,2,2.695893276849116
5,0,8,3,1.166310869347658
5,0,8,4,4.004880198997683
5,0,,0,0.0
5,0,,1,0.0
5,0,,2,0.0
5,0,,3,0.0
5,0,,4,0.0
6,0,0,0,4.69792837795234
6,0,0,1,3.3208947044480337
6,0,0,2,9.005499987311318
6,0,0,3,3.813838029137632
6,0,0,4,3.4465932456413366
6,0,1,0,2.9922697767306086
6,0,1,1,0.8185747064055751
6,0,1,2,1.3745262613435454
6,0,1,3,8.54518735240697
6,0,1,4,1.984289506836153
6,0,2,0,0.6845543310431392
6,0,2,1,0.03672052905738474
6,0,2,2,0.7635260268266527
6,0,2,3,8.085728020368117
6,0,2,4,0.18305303581600796
6,0,3,0,4.310826592027353
6,0,3,1,5.341973306657706
6,0,3,2,9.489999999996044
6,0,3,3,6.8654274887717595
6,0,3,4,6.257623680568638
6,0,4,0,1.2402141869515064
6,0,4,1,2.039287417874064
6,0,4,2,9.004936844895607
6,0,4,3,4.793973540594278
6,0,4,4,1.733493048154433
6,0,5,0,1.1088527616178399
6,0,5,1,0.38544858548936745
6,0,5,2,8.541178496216114
6,0,5,3,1.4209717419704395
6,0,5,4,2.849468481069174
6,0,6,0,7.5634459944538035
6,0,6,1,8.261297460713067
6,0,6,2,9.02149641605239
6,0,6,3,8.79885130404186
6,0,6,4,9.999999999999993
6,0,7,0,5.965428626517112
6,0,7,1,5.685093191946217
6,0,7,2,7.711254567621974
6,0,7,3,9.4899999999998
6,0,7,4,7.708776733708839
6,0,8,0,3.314230428114236
6,0,8,1,4.031343106161043
6,0,8,2,4.263811683661451
6,0,8,3,9.005498720682079
6,0,8,4,3.881093953508232
6,0,,0,0.0
6,0,,1,0.0
6,0,,2,0.0
6,0,,3,0.0
6,0,,4,0.0
7,0,0,0,1.4020472997296518
7,0,0,1,0.22081989659183665
7,0,0,2,8.531116925413452
7,0,0,3,2.5095124362310286
7,0,0,4,0.8284285547743125
7,0,1,0,0.5558672779855844
7,0,1,1,1.0208234776206366
7,0,1,2,9.00374752902679
7,0,1,3,1.3501432143579732
7,0,1,4,1.0397084412156599
7,0,2,0,0.25771516160987173
7,0,2,1,0.8982089437586241
7,0,2,2,8.53125338363061
7,0,2,3,2.1667739352244535
7,0,2,4,0.9562882884803474
7,0,3,0,2.045480897332005
7,0,3,1,5.053328065990087
7,0,3,2,9.005497415177429
7,0,3,3,3.313108685739926
7,0,3,4,2.9044916554298847
7,0,4,0,2.2410592857035914
7,0,4,1,1.0093143997112168
7,0,4,2,9.489999871483601
7,0,4,3,5.0547070718437155
7,0,4,4,5.094666674459784
7,0,5,0,2.1622432395087197
7,0,5,1,3.7910702152363838
7,0,5,2,9.00549131945296
7,0,5,3,3.6647192458409514
