eta,strategy,known_start,episodes,label_success,label_success_se,operational_score,operational_score_se,state_label_success,state_label_success_se,state_operational_score,state_operational_score_se,mean_confidence,posterior_entropy_bits,mean_senses,mean_moves,mean_total_cost,state_mean_moves,state_mean_total_cost
0.2,adaptive-0.50,0,1500,0.19066666666666668,0.010146126774206572,0.5630366181774799,0.007303878240099765,0.188,0.010091509254782437,0.5643472826987417,0.007245158542695857,0.18740408704393755,3.071846256964855,6.0,1.29,8.29,1.3026666666666666,8.302666666666667
0.2,fixed-1,0,1500,0.14733333333333334,0.009154599168656923,0.45906666666666673,0.007399163559296041,0.14733333333333334,0.009154599168656923,0.45906666666666673,0.007399163559296041,0.15555555555555559,3.1516458229735846,1.0,1.3273333333333333,3.3273333333333333,1.3273333333333333,3.3273333333333333
0.2,fixed-3,0,1500,0.17333333333333334,0.009776996080639143,0.5116847131468365,0.007352744643844111,0.16266666666666665,0.009532299021287343,0.5145728018633645,0.007096302836519231,0.16794751568377195,3.1179007977259023,3.0,1.3173333333333332,5.317333333333333,1.324,5.324
0.2,fixed-5,0,1500,0.18866666666666668,0.010105235320909869,0.5476508188419201,0.00736565055090529,0.19733333333333333,0.0102793824260653,0.5528867290688845,0.0074404332982557836,0.18118220147228803,3.0882543136826146,5.0,1.318,7.318,1.3093333333333332,7.309333333333333
0.2,no-sense,0,1500,0.11066666666666666,0.008102888882524062,0.3380000000000002,0.006940154185826498,0.11066666666666666,0.008102888882524062,0.3380000000000002,0.006940154185826498,0.11111111111111112,3.169925001442312,0.0,0.0,1.0,0.0,1.0
0.2,no-sense,1,1500,1.0,0.0,1.0000000000000002,6.23868356597806e-18,1.0,0.0,1.0000000000000002,6.23868356597806e-18,1.0,0.0,0.0,1.3406666666666667,2.3406666666666665,1.3406666666666667,2.3406666666666665
0.5,adaptive-0.25,0,1500,0.264,0.011385184010076231,0.8066703720010031,0.005267228062779599,0.254,0.011243084005673847,0.8314387609650488,0.004747986238544668,0.26515480967645993,2.8497211166338046,4.157333333333334,1.344,6.501333333333333,1.332,6.489333333333334
0.5,adaptive-0.32,0,1500,0.26466666666666666,0.011394386169173968,0.742079855404173,0.005465640036729971,0.23066666666666666,0.010880500627252258,0.8104400281742804,0.00438007559026357,0.26874360625601085,2.8079439337742054,5.8406666666666665,1.3426666666666667,8.183333333333334,1.3466666666666667,8.187333333333333
0.5,adaptive-0.50,0,1500,0.2733333333333333,0.01151100127045053,0.7247790716018467,0.005404788675893625,0.25333333333333335,0.011233335609826036,0.8054334961871976,0.0043305634022393754,0.26769929319297014,2.8086683410439526,6.0,1.3266666666666667,8.326666666666666,1.3533333333333333,8.353333333333333
0.5,fixed-1,0,1500,0.20266666666666666,0.01038270001327383,0.6591111111111113,0.006956239186824246,0.20266666666666666,0.01038270001327383,0.6591111111111113,0.006956239186824246,0.22222222222222224,3.058813890331201,1.0,1.34,3.34,1.34,3.34
0.5,fixed-3,0,1500,0.25466666666666665,0.011252797607989518,0.7190058385203671,0.0060514875921168255,0.24066666666666667,0.011041380780553472,0.7381891289846033,0.005846993454651775,0.24531403106035377,2.9153194950934105,3.0,1.2953333333333332,5.295333333333334,1.286,5.286
0.5,fixed-5,0,1500,0.2713333333333333,0.011484582453291658,0.7346826635488598,0.005646281817767694,0.252,0.01121373407424687,0.7858476205026036,0.0049614010085644086,0.26331168728087234,2.833227468512066,5.0,1.3633333333333333,7.363333333333333,1.3626666666666667,7.362666666666667
0.5,no-sense,0,1500,0.118,0.008332483834842122,0.3404444444444446,0.007131927873548888,0.118,0.008332483834842122,0.3404444444444446,0.007131927873548888,0.11111111111111112,3.169925001442312,0.0,0.0,1.0,0.0,1.0
0.5,no-sense,1,1500,1.0,0.0,1.0000000000000002,6.358786417191074e-18,1.0,0.0,1.0000000000000002,6.358786417191074e-18,1.0,0.0,0.0,1.336,2.336,1.336,2.336
0.8,adaptive-0.25,0,1500,0.30133333333333334,0.011851076000598076,0.8727555555555557,0.004822649625966647,0.30133333333333334,0.011851076000598076,0.8727555555555557,0.004822649625966647,0.2888888888888889,2.874885114497339,1.0,1.306,3.306,1.306,3.306
0.8,adaptive-0.32,0,1500,0.3006666666666667,0.011843605678950443,0.6214839985320009,0.009084408712211644,0.21333333333333335,0.010580931853767774,0.9261634435645956,0.0025098188400573557,0.3006975002945311,2.7086621770650217,4.74,1.352,7.092,1.3346666666666667,7.074666666666666
0.8,adaptive-0.50,0,1500,0.2906666666666667,0.011727946688404345,0.45272246329865523,0.007273955886966574,0.16666666666666666,0.009625713592631502,0.9048769814936274,0.002143179861578263,0.30121148903313405,2.705213736518451,6.0,1.3386666666666667,8.338666666666667,1.3286666666666667,8.328666666666667
0.8,fixed-1,0,1500,0.2733333333333333,0.011511001270450528,0.8696000000000004,0.004755083497117749,0.2733333333333333,0.011511001270450528,0.8696000000000004,0.004755083497117749,0.2888888888888889,2.874885114497339,1.0,1.3226666666666667,3.3226666666666667,1.3226666666666667,3.3226666666666667
0.8,fixed-3,0,1500,0.288,0.01169594787940957,0.6858302882215691,0.005661650936113268,0.21866666666666668,0.010676002141166069,0.8948932880583582,0.0026189549598386354,0.2975300863077832,2.730640683817784,3.0,1.3346666666666667,5.334666666666666,1.3326666666666667,5.332666666666666
0.8,fixed-5,0,1500,0.302,0.011858516613705036,0.5102301093664532,0.007319185113856412,0.168,0.009656405340985136,0.9011033176843279,0.002161611384270244,0.3003695984956123,2.7068093736960983,5.0,1.322,7.322,1.2966666666666666,7.296666666666667
