theta,min_trace_separation,commutator_defect,mean_translation_defect,max_translation_defect,pearson_euclidean,spearman_manhattan,mds_2d_stress,positive_gram_planarity,separation_adjusted_score
0.11821229050279329,0.05742845816840599,0.0005820029012265383,0.0005542792438686155,0.0029406482105121747,0.9997885612619474,0.9548010287986628,0.0011249075782572783,0.9988473982983714,2.7179439888663968
0.12653631284916203,0.06121206189442064,0.0007134465075115511,0.0006788659507964396,0.003599984526951236,0.9997221454408647,0.9548010287986628,0.0012872532996489124,0.9986812942407592,2.8747275650146222
0.13486033519553073,0.06494301425099008,0.0008632411803417868,0.0008206312489640192,0.0043496395721445485,0.9996411281192595,0.9548010287986628,0.0014601880888514321,0.998504417594711,3.0251229747166417
0.14318435754189945,0.0686180025174644,0.0010325584366953436,0.0009806194311130663,0.005194912871756038,0.9995434880573216,0.9548010287986628,0.0016436268595412167,0.9983168651442899,3.1689087057790037
0.15150837988826818,0.07223374254839454,0.0012225630120827572,0.0011598350089698085,0.006140984303945834,0.999427066481167,0.9548010287986628,0.0018374804978624985,0.998118737660396,3.3058922444447814
0.15983240223463688,0.07578698045966613,0.001434412456680017,0.0013592983915879323,0.007192907635120476,0.9992895659546603,0.9548010287986628,0.0020416561052146827,0.997910139521828,3.435909645221119
0.1681564245810056,0.07927449430068696,0.0016692567284014256,0.0015799883204649105,0.008355604214246738,0.9991285493415817,0.9548010287986628,0.0022560572509672376,0.9976911783208793,3.558824889659673
0.1764804469273743,0.08269309571205827,0.0019282377912918293,0.0018228729953984734,0.009633856837781767,0.9989414388884746,0.9548010287986628,0.0024805842349309537,0.9974619644541811,3.6745290582079724
0.18480446927374303,0.08603963156790499,0.002212489215609964,0.002088892855530786,0.011032303791189184,0.9987255154608679,0.9548010287986628,0.002715134358549497,0.997222610700236,3.782939340412787
0.19312849162011175,0.08931098560208373,0.0025231357797062775,0.002378957134184409,0.012555433075202179,0.9984779179679188,0.9548010287986628,0.0029596022042321702,0.9969732317846612,3.883997909127258
0.20145251396648045,0.09250408001755783,0.0028612930757373816,0.0026939891294530866,0.014207576824360892,0.9981956430129413,0.9548010287986628,0.003213879922073456,0.9967139439343884,3.9776706842808203
0.20977653631284918,0.09561587707816804,0.003228067115788587,0.003034850693423014,0.015992905924807687,0.9978755448096427,0.9548010287986628,0.0034778575231600487,0.996444864422114,4.063946011159986
0.2181005586592179,0.09864338068214254,0.0036245539435061772,0.003402397696687575,0.017915424839179298,0.9975143354062765,0.9548010287986628,0.0037514231788703905,0.9961661111020621,4.142833277077569
0.2264245810055866,0.10158363791651917,0.0040518392467151585,0.003797457961794292,0.01997896664440447,0.9971085852621535,0.9548010287986628,0.004034463525265544,0.9958778019385236,4.214361488961264
0.23474860335195533,0.1044337405918682,0.004510997973666131,0.004220811882237516,0.022187188289687423,0.9966547242231637,0.9548010287986628,0.004326863971937423,0.9955800545282314,4.278577832689398
0.24307262569832405,0.10719082675655091,0.005003093952945583,0.00467326548757446,0.02454356608061854,0.9961490429449562,0.9548010287986628,0.00462850901453999,0.9952729856179864,4.33554623314704
0.25139664804469275,0.10985208218980992,0.005529179515412456,0.005155561478253937,0.02705139139541973,0.9955876948142619,0.9548010287986628,0.004939282550248217,0.9949567106187391,4.3853459319667225
0.25972067039106145,0.11241474187305368,0.006090295120539468,0.005668396409913973,0.02971376663911364,0.9949666984203852,0.9548010287986628,0.005259068195482629,0.9946313431173687,4.42807009781997
0.2680446927374302,0.1148760914386421,0.006687468985974166,0.006212497779806041,0.032533601441363864,0.9942819406301795,0.9548010287986628,0.005587749605221369,0.9942969943873978,4.463824482021495
0.2763687150837989,0.11723346859546205,0.0073217167201206235,0.0067884768838419205,0.035513609102383825,0.9935291803206417,0.9548010287986628,0.005925210793114357,0.9939537729000025,4.492726130147046
0.2846927374301676,0.11948426453072766,0.007994040959492124,0.007397027514775414,0.03865630329274638,0.9927040528237351,0.9548010287986628,0.006271336451925196,0.9936017838363185,4.514902158303581
0.29301675977653635,0.12162592528721426,0.008705431008271768,0.00803868844011527,0.041963995010614194,0.9918020751378868,0.9548010287986628,0.006626012273455285,0.9932411286025702,4.530488600829093
0.30134078212290505,0.12365595311550243,0.00945686248361676,0.008714079253809204,0.04543878980170751,0.9908186519599641,0.9548010287986628,0.006989125267644223,0.9928719043488088,4.5396293343234015
