memory,sharpness,immediate_mi_bits,score,bellman_iterations,symmetry_residual,diagonal_residual,minimum_offdiagonal,maximum_triangle_violation,is_metric,torus_correlation,best_scale,relative_rmse_after_scale,edge_mean,edge_spread,diagonal_mean,diagonal_spread,strict_shell_margin,heldout_diagonal_additivity_error
0.85,0.9500000000000001,0.034471496516955066,0.41578255719016477,0,0.0,0.0,1.1719014650599409,0.0,True,1.0,1.1182869730334486,0.025068088014330206,1.1719014650599406,0.0,2.2097667000536507,0.0,1.0378652349937103,0.06065628107391421
0.8999999999999999,0.75,0.01508531561261702,0.41559248663430354,0,0.0,0.0,1.1178171515069184,0.0,True,0.9999999999999991,1.0814880940829437,0.017605828514856068,1.1178171515069186,0.0,2.1448116594538997,0.0,1.0269945079469813,0.042345276872964355
0.8999999999999999,0.7000000000000001,0.01332842595011479,0.4112926336091758,0,0.0,0.0,1.1197894795778396,0.0,True,0.9999999999999998,1.082836426751771,0.017884346664191298,1.1197894795778396,0.0,2.1471963270905072,0.0,1.027406847512668,0.04302477183833104
0.85,0.9,0.031320967536227595,0.4082722963347843,0,0.0,0.0,1.1750795014725215,0.0,True,0.9999999999999996,1.1204383046540494,0.025495606622943937,1.1750795014725215,0.0,2.213556010898863,0.0,1.0384765094263413,0.06171201061711991
0.8999999999999999,0.65,0.011662635789021884,0.4071742460533192,0,0.0,0.0,1.1217670323575262,0.0,True,1.0,1.084187836773549,0.018163103577478145,1.121767032357526,0.0,2.149586075755109,0.0,1.027819043397583,0.04370515329419441
0.7999999999999999,1.0,0.05032583347756446,0.40671619308626383,0,0.0,0.0,1.2345679012345678,0.0,True,0.9999999999999993,1.1604938271604939,0.033287133264930296,1.2345679012345676,0.0,2.2839506172839505,0.0,1.0493827160493827,0.08108108108108086
0.8999999999999999,0.6,0.010090489194645863,0.40324241085276646,0,0.0,0.0,1.1237498283159986,0.0,True,0.9999999999999998,1.0855423341532546,0.018442099561873943,1.1237498283159983,0.0,2.151980921225137,0.0,1.0282310929091385,0.044386422976501194
0.85,0.85,0.028295115331742945,0.4010096599280257,0,0.0,0.0,1.1782704830356665,0.0,True,1.0,1.1225972027122313,0.025923681534236537,1.1782704830356667,0.0,2.2173577652627454,0.0,1.0390872822270785,0.06276984390567933
0.8999999999999999,0.55,0.008614805395761434,0.39950276521677597,0,0.0,0.0,1.1257378860049674,0.0,True,0.9999999999999998,1.0868999289377959,0.018721334925063813,1.1257378860049672,0.0,2.154380879342006,0.0,1.0286429933370387,0.04506858262573474
0.7999999999999999,0.9500000000000001,0.045961995355939964,0.3963309694357294,0,0.0,0.0,1.2391531076927316,0.0,True,0.9999999999999996,1.1635647681234749,0.033871630776167075,1.2391531076927318,0.0,2.2893353664623217,0.0,1.0501822587695897,0.08254397834912075
