memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.19999999999999998,0.9,2.0694557179012918e-13,87,True
0.19999999999999998,0.9500000000000001,2.0738966099997924e-13,85,True
0.19999999999999998,1.0,2.0694557179012918e-13,83,True
0.24999999999999997,0.1,2.859934511434403e-13,113,True
0.24999999999999997,0.15000000000000002,3.1530333899354446e-13,111,True
0.24999999999999997,0.2,2.7000623958883807e-13,108,True
0.24999999999999997,0.25,2.318145675417327e-13,106,True
0.24999999999999997,0.30000000000000004,2.7711166694643907e-13,103,True
0.24999999999999997,0.35,2.4868995751603507e-13,101,True
0.24999999999999997,0.4,2.2648549702353193e-13,99,True
0.24999999999999997,0.45000000000000007,2.1227464230832993e-13,97,True
0.24999999999999997,0.5,1.971756091734278e-13,95,True
0.24999999999999997,0.55,1.8918200339612667e-13,93,True
0.24999999999999997,0.6,1.8829382497642655e-13,91,True
0.24999999999999997,0.65,1.865174681370263e-13,89,True
0.24999999999999997,0.7000000000000001,1.9184653865522705e-13,87,True
0.24999999999999997,0.75,1.98507876802978e-13,85,True
0.24999999999999997,0.8,2.0738966099997924e-13,83,True
0.24999999999999997,0.85,1.5276668818842154e-13,82,True
0.24999999999999997,0.9,1.6786572132332367e-13,80,True
0.24999999999999997,0.9500000000000001,1.865174681370263e-13,78,True
0.24999999999999997,1.0,1.4033219031261979e-13,77,True
0.3,0.1,2.1938006966593093e-13,101,True
0.3,0.15000000000000002,2.0872192862952943e-13,99,True
0.3,0.2,2.0339285811132868e-13,97,True
0.3,0.25,1.9895196601282805e-13,95,True
0.3,0.30000000000000004,2.042810365310288e-13,93,True
0.3,0.35,2.078337502098293e-13,91,True
0.3,0.4,2.1671553440683056e-13,89,True
0.3,0.45000000000000007,2.3003821070233244e-13,87,True
0.3,0.5,1.7408297026122455e-13,86,True
0.3,0.55,1.8918200339612667e-13,84,True
0.3,0.6,2.1227464230832993e-13,82,True
0.3,0.65,1.6431300764452317e-13,81,True
0.3,0.7000000000000001,1.8962609260597674e-13,79,True
0.3,0.75,1.5010215292932116e-13,78,True
0.3,0.8,1.7896795156957523e-13,76,True
0.3,0.85,1.425526363618701e-13,75,True
0.3,0.9,1.7852386235972517e-13,73,True
0.3,0.9500000000000001,1.4432899320127035e-13,72,True
0.3,1.0,1.1945999744966684e-13,71,True
0.35,0.1,2.0339285811132868e-13,90,True
0.35,0.15000000000000002,2.2470914018413168e-13,88,True
0.35,0.2,1.758593271006248e-13,87,True
0.35,0.25,2.007283228522283e-13,85,True
0.35,0.30000000000000004,1.5942802633617248e-13,84,True
0.35,0.35,1.865174681370263e-13,82,True
0.35,0.4,1.5010215292932116e-13,81,True
0.35,0.45000000000000007,1.8207657603852567e-13,79,True
0.35,0.5,1.496580637194711e-13,78,True
0.35,0.55,1.887379141862766e-13,76,True
0.35,0.6,1.5853984791647235e-13,75,True
0.35,0.65,1.3278267374516872e-13,74,True
0.35,0.7000000000000001,1.7541523789077473e-13,72,True
0.35,0.75,1.5010215292932116e-13,71,True
0.35,0.8,1.3011813848606835e-13,70,True
0.35,0.85,1.1368683772161603e-13,69,True
0.35,0.9,1.6120438317557273e-13,67,True
0.35,0.9500000000000001,1.4432899320127035e-13,66,True
0.35,1.0,1.2922996006636822e-13,65,True
0.39999999999999997,0.1,1.5276668818842154e-13,81,True
0.39999999999999997,0.15000000000000002,1.9184653865522705e-13,79,True
0.39999999999999997,0.2,1.6608936448392342e-13,78,True
0.39999999999999997,0.25,1.438849039914203e-13,77,True
0.39999999999999997,0.30000000000000004,1.91402449445377e-13,75,True
0.39999999999999997,0.35,1.6919798895287386e-13,74,True
0.39999999999999997,0.4,1.5010215292932116e-13,73,True
0.39999999999999997,0.45000000000000007,1.3455903058456897e-13,72,True
0.39999999999999997,0.5,1.2079226507921703e-13,71,True
0.39999999999999997,0.55,1.1057821325266559e-13,70,True
0.39999999999999997,0.6,1.603162047558726e-13,68,True
0.39999999999999997,0.65,1.474376176702208e-13,67,True
0.39999999999999997,0.7000000000000001,1.389999226830696e-13,66,True
0.39999999999999997,0.75,1.3011813848606835e-13,65,True
0.39999999999999997,0.8,1.2256862191861728e-13,64,True
0.39999999999999997,0.85,1.1901590823981678e-13,63,True
0.39999999999999997,0.9,1.1457501614131615e-13,62,True
0.39999999999999997,0.9500000000000001,1.1013412404281553e-13,61,True
0.39999999999999997,1.0,1.0791367799356522e-13,60,True
0.44999999999999996,0.1,1.7852386235972517e-13,72,True
0.44999999999999996,0.15000000000000002,1.6697754290362354e-13,71,True
0.44999999999999996,0.2,1.6076029396572267e-13,70,True
0.44999999999999996,0.25,1.5232259897857148e-13,69,True
0.44999999999999996,0.30000000000000004,1.4699352846037073e-13,68,True
0.44999999999999996,0.35,1.4299672557172016e-13,67,True
0.44999999999999996,0.4,1.4033219031261979e-13,66,True
0.44999999999999996,0.45000000000000007,1.3589129821411916e-13,65,True
0.44999999999999996,0.5,1.3677947663381929e-13,64,True
