memory,sharpness,analytic_bellman_max_error,bellman_iterations,is_metric
0.6,0.35,7.061018436615996e-14,50,True
0.6,0.4,9.370282327836321e-14,49,True
0.6,0.45000000000000007,6.394884621840902e-14,49,True
0.6,0.5,8.570921750106208e-14,48,True
0.6,0.55,5.81756864903582e-14,48,True
0.6,0.6,7.904787935331115e-14,47,True
0.6,0.65,5.284661597215745e-14,47,True
0.6,0.7000000000000001,7.283063041541027e-14,46,True
0.6,0.75,4.8405723873656825e-14,46,True
0.6,0.8,6.838973831690964e-14,45,True
0.6,0.85,4.529709940470639e-14,45,True
0.6,0.9,6.483702463810914e-14,44,True
0.6,0.9500000000000001,4.3520742565306136e-14,44,True
0.6,1.0,6.217248937900877e-14,43,True
0.6499999999999999,0.1,8.748557434046234e-14,47,True
0.6499999999999999,0.15000000000000002,6.128431095930864e-14,47,True
0.6499999999999999,0.2,8.881784197001252e-14,46,True
0.6499999999999999,0.25,6.394884621840902e-14,46,True
0.6499999999999999,0.30000000000000004,9.192646643896296e-14,45,True
0.6499999999999999,0.35,6.661338147750939e-14,45,True
0.6499999999999999,0.4,4.618527782440651e-14,45,True
0.6499999999999999,0.45000000000000007,6.794564910705958e-14,44,True
0.6499999999999999,0.5,4.796163466380676e-14,44,True
0.6499999999999999,0.55,7.149836278586008e-14,43,True
0.6499999999999999,0.6,5.10702591327572e-14,43,True
0.6499999999999999,0.65,7.682743330406083e-14,42,True
0.6499999999999999,0.7000000000000001,5.3290705182007514e-14,42,True
0.6499999999999999,0.75,3.774758283725532e-14,42,True
0.6499999999999999,0.8,5.861977570020827e-14,41,True
0.6499999999999999,0.85,4.1300296516055823e-14,41,True
0.6499999999999999,0.9,6.394884621840902e-14,40,True
0.6499999999999999,0.9500000000000001,4.4853010194856324e-14,40,True
0.6499999999999999,1.0,7.194245199571014e-14,39,True
0.7,0.1,7.416289804496046e-14,42,True
0.7,0.15000000000000002,5.417888360170764e-14,42,True
0.7,0.2,3.9968028886505635e-14,42,True
0.7,0.25,6.572520305780927e-14,41,True
0.7,0.30000000000000004,4.796163466380676e-14,41,True
0.7,0.35,3.552713678800501e-14,41,True
0.7,0.4,5.861977570020827e-14,40,True
0.7,0.45000000000000007,4.3076653355456074e-14,40,True
0.7,0.5,7.238654120556021e-14,39,True
0.7,0.55,5.284661597215745e-14,39,True
0.7,0.6,3.863576125695545e-14,39,True
0.7,0.65,6.572520305780927e-14,38,True
0.7,0.7000000000000001,4.796163466380676e-14,38,True
0.7,0.75,3.375077994860476e-14,38,True
0.7,0.8,6.039613253960852e-14,37,True
0.7,0.85,4.3076653355456074e-14,37,True
0.7,0.9,3.064215547965432e-14,37,True
0.7,0.9500000000000001,5.595524044110789e-14,36,True
