target,repertoire,dx,dy,radius,training,truth,prediction,relative_error,absolute_error
fubini-study,D4,6,10,11.661903789691,0,10.812048070307,16.000000000000,0.479830638558,5.187951929693
fubini-study,D4,7,-9,11.401754250991,0,10.699476334423,16.000000000000,0.495400288753,5.300523665577
fubini-study,D4,7,-8,10.630145812735,0,10.157373210086,15.000000000000,0.476759757641,4.842626789914
fubini-study,D4,7,-7,9.899494936612,0,9.577026741031,14.000000000000,0.461831566160,4.422973258969
fubini-study,D4,7,-6,9.219544457293,0,8.993551304692,13.000000000000,0.445480162349,4.006448695308
fubini-study,D4,7,-5,8.602325267043,0,8.435998584892,12.000000000000,0.422475345301,3.564001415108
fubini-study,D4,7,-4,8.062257748299,0,7.930544061122,11.000000000000,0.387042290569,3.069455938878
fubini-study,D4,7,-3,7.615773105864,0,7.502146628193,10.000000000000,0.332951819739,2.497853371807
fubini-study,D4,7,-2,7.280109889281,0,7.174489521353,9.000000000000,0.254444650482,1.825510478647
fubini-study,D4,7,-1,7.071067811865,0,6.968177917682,8.000000000000,0.148076311269,1.031822082318
fubini-study,D4,7,0,7.000000000000,0,6.897658830084,7.000000000000,0.014837087835,0.102341169916
fubini-study,D4,7,1,7.071067811865,0,6.968177917682,8.000000000000,0.148076311269,1.031822082318
fubini-study,D4,7,2,7.280109889281,0,7.174489521353,9.000000000000,0.254444650482,1.825510478647
fubini-study,D4,7,3,7.615773105864,0,7.502146628193,10.000000000000,0.332951819739,2.497853371807
fubini-study,D4,7,4,8.062257748299,0,7.930544061122,11.000000000000,0.387042290569,3.069455938878
fubini-study,D4,7,5,8.602325267043,0,8.435998584892,12.000000000000,0.422475345301,3.564001415108
fubini-study,D4,7,6,9.219544457293,0,8.993551304692,13.000000000000,0.445480162349,4.006448695308
fubini-study,D4,7,7,9.899494936612,0,9.577026741031,14.000000000000,0.461831566160,4.422973258969
fubini-study,D4,7,8,10.630145812735,0,10.157373210086,15.000000000000,0.476759757641,4.842626789914
fubini-study,D4,7,9,11.401754250991,0,10.699476334423,16.000000000000,0.495400288753,5.300523665577
fubini-study,D4,8,-8,11.313708498985,0,10.751340110320,16.000000000000,0.488186573564,5.248659889680
fubini-study,D4,8,-7,10.630145812735,0,10.243423103118,15.000000000000,0.464354234810,4.756576896882
fubini-study,D4,8,-6,10.000000000000,0,9.720311526578,14.000000000000,0.440283056949,4.279688473422
fubini-study,D4,8,-5,9.433981132057,0,9.216191768851,13.000000000000,0.410560926470,3.783808231149
fubini-study,D4,8,-4,8.944271909999,0,8.759095329553,12.000000000000,0.370004498012,3.240904670447
fubini-study,D4,8,-3,8.544003745318,0,8.373296317452,11.000000000000,0.313700074972,2.626703682548
fubini-study,D4,8,-2,8.246211251235,0,8.079949061421,10.000000000000,0.237631564752,1.920050938579
fubini-study,D4,8,-1,8.062257748299,0,7.896240461286,9.000000000000,0.139782918735,1.103759538714
fubini-study,D4,8,0,8.000000000000,0,7.833649757257,8.000000000000,0.021235343409,0.166350242743
fubini-study,D4,8,1,8.062257748299,0,7.896240461286,9.000000000000,0.139782918735,1.103759538714
fubini-study,D4,8,2,8.246211251235,0,8.079949061421,10.000000000000,0.237631564752,1.920050938579
fubini-study,D4,8,3,8.544003745318,0,8.373296317452,11.000000000000,0.313700074972,2.626703682548
fubini-study,D4,8,4,8.944271909999,0,8.759095329553,12.000000000000,0.370004498012,3.240904670447
fubini-study,D4,8,5,9.433981132057,0,9.216191768851,13.000000000000,0.410560926470,3.783808231149
fubini-study,D4,8,6,10.000000000000,0,9.720311526578,14.000000000000,0.440283056949,4.279688473422
fubini-study,D4,8,7,10.630145812735,0,10.243423103118,15.000000000000,0.464354234810,4.756576896882
fubini-study,D4,8,8,11.313708498985,0,10.751340110320,16.000000000000,0.488186573564,5.248659889680
fubini-study,D4,9,-7,11.401754250991,0,10.942241096983,16.000000000000,0.462223310398,5.057758903017
fubini-study,D4,9,-6,10.816653826392,0,10.470404327166,15.000000000000,0.432609432387,4.529595672834
fubini-study,D4,9,-5,10.295630140987,0,10.008208053985,14.000000000000,0.398851814879,3.991791946015
fubini-study,D4,9,-4,9.848857801796,0,9.587086460976,13.000000000000,0.355990691532,3.412913539024
fubini-study,D4,9,-3,9.486832980505,0,9.231859886772,12.000000000000,0.299846417426,2.768140113228
fubini-study,D4,9,-2,9.219544457293,0,8.962516011600,11.000000000000,0.227333930089,2.037483988400
fubini-study,D4,9,-1,9.055385138137,0,8.794345096840,10.000000000000,0.137094336177,1.205654903160
